GEO_ID,id_Fix,NAME,Patientreadmin,PATIENTREADMINZ,Cleanliness - star rating,CLENLINESSZ,Nurse communication - star rating,NURSECOMZ,Doctor communication - star rating,DOCTORCOMZ,Staff responsiveness - star rating,STAFFRESPZ,Communication about medicines - star rating,COMMMEDZ,Discharge information - star rating,DISCHARGEINFOZ,Care transition - star rating,CARETRANSIZ,Overall hospital rating - star rating,OVERALLHOSPZ,Quietness - star rating,QUIETZ,Recommend hospital - star rating,RECHOSZ,Qualzore,INDEX_qual,Lifeexpectancy,LIEEXPZ,INDEX_LifeExpect,infantmortality,INFANTMORZ,INDEX_InfantMort,ReadminRATE,Readminz,INDEX_readminrate,averagez,INDEX_Overall
1400000US16027020100,16027020100,"Census Tract 201, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,72.5, (2.44),5,16, 0.72 ,1,85.041666666666700%, (0.27),2, 1.40 ,5
1400000US16027020200,16027020200,"Census Tract 202, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,73.6, (1.96),5,16, 0.72 ,1,85.041666666666700%, (0.27),2, 1.87 ,5
1400000US16027020300,16027020300,"Census Tract 203, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,74.3, (1.66),5,16, 0.72 ,1,85.041666666666700%, (0.27),2, 2.17 ,4
1400000US16027020401,16027020401,"Census Tract 204.01, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,76.7, (0.62),4,16, 0.72 ,1,85.041666666666700%, (0.27),2, 3.21 ,3
1400000US16027020402,16027020402,"Census Tract 204.02, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,79.3, 0.50 ,2,16, 0.72 ,1,85.041666666666700%, (0.27),2, 4.34 ,2
1400000US16027020501,16027020501,"Census Tract 205.01, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,79.1, 0.41 ,3,16, 0.72 ,1,85.041666666666700%, (0.27),2, 4.25 ,3
1400000US16027020503,16027020503,"Census Tract 205.03, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,75.8, (1.01),5,16, 0.72 ,1,85.041666666666700%, (0.27),2, 2.82 ,4
1400000US16027020504,16027020504,"Census Tract 205.04, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,76, (0.93),5,16, 0.72 ,1,85.041666666666700%, (0.27),2, 2.91 ,4
1400000US16027020601,16027020601,"Census Tract 206.01, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,78.2, 0.02 ,3,16, 0.72 ,1,85.041666666666700%, (0.27),2, 3.86 ,3
1400000US16027020602,16027020602,"Census Tract 206.02, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,76.6, (0.67),4,16, 0.72 ,1,85.041666666666700%, (0.27),2, 3.17 ,3
1400000US16027020700,16027020700,"Census Tract 207, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,80.5, 1.02 ,1,16, 0.72 ,1,85.041666666666700%, (0.27),2, 4.85 ,1
1400000US16027020901,16027020901,"Census Tract 209.01, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,79.3, 0.50 ,2,16, 0.72 ,1,85.041666666666700%, (0.27),2, 4.34 ,2
1400000US16027020902,16027020902,"Census Tract 209.02, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,81.9, 1.62 ,1,16, 0.72 ,1,85.041666666666700%, (0.27),2, 5.46 ,1
1400000US16027021001,16027021001,"Census Tract 210.01, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,80.5, 1.02 ,1,16, 0.72 ,1,85.041666666666700%, (0.27),2, 4.85 ,1
1400000US16027021002,16027021002,"Census Tract 210.02, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,80.4, 0.98 ,2,16, 0.72 ,1,85.041666666666700%, (0.27),2, 4.81 ,2
1400000US16027021100,16027021100,"Census Tract 211, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,80.4, 0.98 ,2,16, 0.72 ,1,85.041666666666700%, (0.27),2, 4.81 ,2
1400000US16027021200,16027021200,"Census Tract 212, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,77.2, (0.41),4,16, 0.72 ,1,85.041666666666700%, (0.27),2, 3.43 ,3
1400000US16027021300,16027021300,"Census Tract 213, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,77.2, (0.41),4,16, 0.72 ,1,85.041666666666700%, (0.27),2, 3.43 ,3
1400000US16027021500,16027021500,"Census Tract 215, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,76, (0.93),5,16, 0.72 ,1,85.041666666666700%, (0.27),2, 2.91 ,4
1400000US16027021600,16027021600,"Census Tract 216, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,76.3, (0.80),5,16, 0.72 ,1,85.041666666666700%, (0.27),2, 3.04 ,4
1400000US16027021700,16027021700,"Census Tract 217, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,76.7, (0.62),4,16, 0.72 ,1,85.041666666666700%, (0.27),2, 3.21 ,3
1400000US16027021800,16027021800,"Census Tract 218, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,79.6, 0.63 ,2,16, 0.72 ,1,85.041666666666700%, (0.27),2, 4.47 ,2
1400000US16027021901,16027021901,"Census Tract 219.01, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,76.4, (0.75),4,16, 0.72 ,1,85.041666666666700%, (0.27),2, 3.08 ,4
1400000US16027021903,16027021903,"Census Tract 219.03, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,81.1, 1.28 ,1,16, 0.72 ,1,85.041666666666700%, (0.27),2, 5.11 ,1
1400000US16027021904,16027021904,"Census Tract 219.04, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,79.4, 0.54 ,2,16, 0.72 ,1,85.041666666666700%, (0.27),2, 4.38 ,2
1400000US16027022100,16027022100,"Census Tract 221, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,78.4, 0.11 ,3,16, 0.72 ,1,85.041666666666700%, (0.27),2, 3.95 ,3
1400000US16027022200,16027022200,"Census Tract 222, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,80.1, 0.85 ,2,16, 0.72 ,1,85.041666666666700%, (0.27),2, 4.68 ,2
1400000US16027022300,16027022300,"Census Tract 223, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,80.2, 0.89 ,2,16, 0.72 ,1,85.041666666666700%, (0.27),2, 4.72 ,2
1400000US16027022400,16027022400,"Census Tract 224, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,80.8, 1.15 ,1,16, 0.72 ,1,85.041666666666700%, (0.27),2, 4.98 ,1
1400000US16075960100,16075960100,"Census Tract 9601, Payette County, Idaho",0, (3.10),0, (3.08),0, (3.16),0, (3.16),0, (3.10),0, (3.07),0, (3.10),0, (3.07),0, (3.08),0, (3.16),0, (2.99), (34.06),5,77.6, (0.23),4,1, (1.36),5,na, na ,na, NA ,NA
1400000US16075960200,16075960200,"Census Tract 9602, Payette County, Idaho",0, (3.10),0, (3.08),0, (3.16),0, (3.16),0, (3.10),0, (3.07),0, (3.10),0, (3.07),0, (3.08),0, (3.16),0, (2.99), (34.06),5,76.3, (0.80),5,1, (1.36),5,na, na ,na, NA ,NA
1400000US16075960300,16075960300,"Census Tract 9603, Payette County, Idaho",0, (3.10),0, (3.08),0, (3.16),0, (3.16),0, (3.10),0, (3.07),0, (3.10),0, (3.07),0, (3.08),0, (3.16),0, (2.99), (34.06),5,81.1, 1.28 ,1,1, (1.36),5,na, na ,na, NA ,NA
1400000US16075960400,16075960400,"Census Tract 9604, Payette County, Idaho",0, (3.10),0, (3.08),0, (3.16),0, (3.16),0, (3.10),0, (3.07),0, (3.10),0, (3.07),0, (3.08),0, (3.16),0, (2.99), (34.06),5,81, 1.24 ,1,1, (1.36),5,na, na ,na, NA ,NA
1400000US16087970100,16087970100,"Census Tract 9701, Washington County, Idaho",11.47%, (0.44),3, (0.23),4, 0.32 ,3, 0.32 ,4, 0.65 ,4, 0.86 ,4, 0.65 ,4, 0.86 ,3, (0.23),3, 0.32 ,4, 0.47 , 3.54 ,1,80.8, 1.15 ,1,0, (1.50),5,88.530000000000000%, 3.51 ,1, 6.70 ,1
1400000US16087970200,16087970200,"Census Tract 9702, Washington County, Idaho",11.47%, (0.44),3, (0.23),4, 0.32 ,3, 0.32 ,4, 0.65 ,4, 0.86 ,4, 0.65 ,4, 0.86 ,3, (0.23),3, 0.32 ,4, 0.47 , 3.54 ,1,77.7, (0.19),3,0, (1.50),5,88.530000000000000%, 3.51 ,1, 5.36 ,1
1400000US16087970300,16087970300,"Census Tract 9703, Washington County, Idaho",11.47%, (0.44),3, (0.23),4, 0.32 ,3, 0.32 ,4, 0.65 ,4, 0.86 ,4, 0.65 ,4, 0.86 ,3, (0.23),3, 0.32 ,4, 0.47 , 3.54 ,1,77.1, (0.45),4,0, (1.50),5,88.530000000000000%, 3.51 ,1, 5.10 ,1
1400000US41045940000,41045940000,"Census Tract 9400, Malheur County, Oregon",15.04%, 0.39 ,4, 0.72 ,4, 0.32 ,3, 0.32 ,4, 0.65 ,3, (0.12),4, 0.65 ,3, (0.12),4, 0.72 ,3, 0.32 ,3, (0.39), 3.44 ,2,77.77142857, (0.16),3,1, (1.36),5,84.960000000000000%, (0.35),5, 1.56 ,5
1400000US41045970200,41045970200,"Census Tract 9702, Malheur County, Oregon",15.04%, 0.39 ,4, 0.72 ,4, 0.32 ,3, 0.32 ,4, 0.65 ,3, (0.12),4, 0.65 ,3, (0.12),4, 0.72 ,3, 0.32 ,3, (0.39), 3.44 ,2,79.1, 0.41 ,3,1, (1.36),5,84.960000000000000%, (0.35),5, 2.14 ,5
1400000US41045970300,41045970300,"Census Tract 9703, Malheur County, Oregon",15.04%, 0.39 ,4, 0.72 ,4, 0.32 ,3, 0.32 ,4, 0.65 ,3, (0.12),4, 0.65 ,3, (0.12),4, 0.72 ,3, 0.32 ,3, (0.39), 3.44 ,2,78, (0.06),3,1, (1.36),5,84.960000000000000%, (0.35),5, 1.66 ,5
1400000US41045970400,41045970400,"Census Tract 9704, Malheur County, Oregon",15.04%, 0.39 ,4, 0.72 ,4, 0.32 ,3, 0.32 ,4, 0.65 ,3, (0.12),4, 0.65 ,3, (0.12),4, 0.72 ,3, 0.32 ,3, (0.39), 3.44 ,2,72.8, (2.31),5,1, (1.36),5,84.960000000000000%, (0.35),5, (0.58),5
1400000US41045970500,41045970500,"Census Tract 9705, Malheur County, Oregon",15.04%, 0.39 ,4, 0.72 ,4, 0.32 ,3, 0.32 ,4, 0.65 ,3, (0.12),4, 0.65 ,3, (0.12),4, 0.72 ,3, 0.32 ,3, (0.39), 3.44 ,2,78, (0.06),3,1, (1.36),5,84.960000000000000%, (0.35),5, 1.66 ,5
1400000US41045970600,41045970600,"Census Tract 9706, Malheur County, Oregon",15.04%, 0.39 ,4, 0.72 ,4, 0.32 ,3, 0.32 ,4, 0.65 ,3, (0.12),4, 0.65 ,3, (0.12),4, 0.72 ,3, 0.32 ,3, (0.39), 3.44 ,2,76.2, (0.84),5,1, (1.36),5,84.960000000000000%, (0.35),5, 0.89 ,5
1400000US41045970700,41045970700,"Census Tract 9707, Malheur County, Oregon",15.04%, 0.39 ,4, 0.72 ,4, 0.32 ,3, 0.32 ,4, 0.65 ,3, (0.12),4, 0.65 ,3, (0.12),4, 0.72 ,3, 0.32 ,3, (0.39), 3.44 ,2,79.2, 0.46 ,2,1, (1.36),5,84.960000000000000%, (0.35),5, 2.18 ,4
1400000US41045970900,41045970900,"Census Tract 9709, Malheur County, Oregon",15.04%, 0.39 ,4, 0.72 ,4, 0.32 ,3, 0.32 ,4, 0.65 ,3, (0.12),4, 0.65 ,3, (0.12),4, 0.72 ,3, 0.32 ,3, (0.39), 3.44 ,2,81.1, 1.28 ,1,1, (1.36),5,84.960000000000000%, (0.35),5, 3.00 ,4
SD,,,0.043209846,,1.052532856,,1.149919149,,0.862439362,,1.067153761,,1.017600788,,1.067153761,,1.017600788,,1.052532856,,0.862439362,,1.157083824,,,,2.313735482,,,7.208810037,,,0.009240136,,,,
MEAN,,,0.133763636,,3.238636364,,3.636363636,,2.727272727,,3.306818182,,3.125,,3.306818182,,3.125,,3.238636364,,2.727272727,,3.454545455,,,,78.14253247,,,10.81818182,,,0.852869583,,,,
